test_id,timestamp,p_true,gamma_true_1,gamma_true_2,gamma_true_3,observed1_1,observed1_2,observed1_3,observed2_1,observed2_2,observed2_3,p1,p2,gamma_est_1,gamma_est_2,gamma_est_3,p_delta,gamma_mae
756,2025-04-19T16:21:15.553305,0.38054443060301585,0.6119732635082882,0.6864537269258701,0.7800272213456125,0.6372731184846214,0.6120166586649398,0.4941200954355106,0.5882326794720558,0.5786141546949143,0.44470745182195587,0.361290285863238,0.3266573917488864,0.5393071213885748,0.5406116725192949,0.5581712440609615,0.03463289411435161,0.14678805793697988
757,2025-04-19T16:21:16.035509,0.4096199264136599,0.5703651141724722,0.6185683490392646,0.6698923983128116,0.7124715457041791,0.6134937342755578,0.6443452471030575,0.6949283051743429,0.6267534377158429,0.64282083714201,0.41896330174755675,0.4171117855929702,0.5386779284093001,0.5482224306302785,0.5482371178653037,0.0018515161545865633,0.074562794873222
758,2025-04-19T16:21:16.557704,0.8654614830006987,0.5923915180733252,0.6135529351043641,0.7307342563889824,0.9,0.9,0.9,0.9,0.9,0.9,0.7336936519785398,0.8970691041519835,0.5465643496940746,0.5465643524498757,0.5465643549319503,0.16337545217344374,0.09899521749692371
759,2025-04-19T16:21:16.931877,0.1638100204998021,0.518644030802156,0.6471857651526058,0.7372958587242403,0.4681589390745337,0.354116771872408,0.27704670722224484,0.39231287198325654,0.3623062286077748,0.30572051328457506,0.10000438108385529,0.11986404235626365,0.539688722163171,0.5435742783741596,0.5506320884830748,0.01985966127240836,0.10377331612687557
760,2025-04-19T16:21:17.935592,0.5873458371804943,0.6040631347491259,0.6975325964344108,0.7068740571321352,0.7835897705563533,0.7149433866257743,0.7305204537232984,0.7668063194990171,0.7424236804906635,0.7687966494487113,0.49590997879818016,0.508311810798426,0.546259912134183,0.5498723250334384,0.5498891139012181,0.01240183200024586,0.12081614574894413
761,2025-04-19T16:21:18.254474,0.3730632342673705,0.5093791837497343,0.6210991731776891,0.7041082622860295,0.6225281748569671,0.5519300578110516,0.5522787602473607,0.6957598283238376,0.5538942054057574,0.5354206815990583,0.35358360497070834,0.3677780419738481,0.5324701105931936,0.5511213057876077,0.5534832839087834,0.01419443700313977,0.08123125753692895
762,2025-04-19T16:21:18.576863,0.27505512070079174,0.5288351872371495,0.5608623243573831,0.6737663992155218,0.608827499241935,0.5465857383628935,0.4580174677422922,0.5923425348545517,0.5041981915587515,0.45612154666760063,0.32440909762511205,0.3051768873518622,0.5349341019084689,0.546921434116952,0.5532359084592275,0.01923221027324984,0.0468567652226816
763,2025-04-19T16:21:19.014445,0.8002862672998786,0.6179480884429954,0.7005616113364952,0.7780628904672182,0.8654753680200903,0.9,0.8558840218187201,0.9,0.8539536918722913,0.8222541570399796,0.8392561190824899,0.6314279752656753,0.5438173403414778,0.5468831806744633,0.5490093766605748,0.20782814381681458,0.1522875641900643
764,2025-04-19T16:21:19.925045,0.10736654995317775,0.574868693910374,0.6052815137690373,0.6339491503120012,0.2474255586183443,0.24015823305047335,0.15389432252954,0.29109801153094983,0.210553968987423,0.2364718607502256,0.1,0.10000438108385529,0.5510993978469501,0.569847902347281,0.569847902347281,4.381083855281576e-06,0.041101385149966786
765,2025-04-19T16:21:20.887231,0.5406309224010976,0.5187193255914465,0.5351257728450718,0.7056654132677695,0.8002416350537566,0.8204294427048772,0.6698248639001743,0.8633034397407822,0.7794221352507825,0.705095065393896,0.5053495517258432,0.5269755962182602,0.5388223182188717,0.5469553234865495,0.5541956579951187,0.021626044492417007,0.06113409951385126
766,2025-04-19T16:21:21.930025,0.1143788121604751,0.6081113622648056,0.6304844289730097,0.7563286645131243,0.25662035070037537,0.206643056533106,0.19042587676407466,0.22267432742650264,0.22239571617601717,0.1730220264686644,0.10000438108385529,0.10000438108385529,0.5595314543134964,0.5597645631471069,0.5597785441388164,0.0,0.10528329805050662
767,2025-04-19T16:21:22.174564,0.2559941983945705,0.5068988760622061,0.5404086400673064,0.6452977817821307,0.5945687281779846,0.5483167462771676,0.4745745304061692,0.6148357105579894,0.5555144493523766,0.46425500527209296,0.32573697338153546,0.3307177328963716,0.5364207587274218,0.5444402195486827,0.5563627400804274,0.0049807595148361195,0.040829501282765114
768,2025-04-19T16:21:23.098253,0.6983066409467854,0.5139520832233643,0.5980515261263111,0.6754541373303912,0.9,0.8621136093993931,0.8144943353284206,0.8887695477327402,0.8814771700290994,0.8405052902286966,0.6310331834174747,0.6505607142886519,0.5452600668433744,0.5456960861530218,0.5482481867530111,0.0195275308711772,0.07028979139022647
769,2025-04-19T16:21:24.037398,0.5853843329541293,0.5548826503472893,0.586815670206136,0.7678365793201556,0.8187548008901485,0.7800148149537252,0.7261660854961953,0.856545979444162,0.7990455911763457,0.7315939343377837,0.5215314701268611,0.5411402155948066,0.5409909813481175,0.5463270543243994,0.5526194523845889,0.019608745467945554,0.08986580393882504
770,2025-04-19T16:21:24.476680,0.37273665431974035,0.7138926599112946,0.7666416501515851,0.7827911679207755,0.5274025493153865,0.5193435163786718,0.5087244015085697,0.5737592952572391,0.4585696273119207,0.49289514412749924,0.30723440105848115,0.28328789939711746,0.530297935352251,0.5503859677526911,0.5503875301263575,0.023946501661363695,0.2107513482507852
771,2025-04-19T16:21:24.962102,0.5972794511186643,0.6626011910589801,0.716877057675917,0.7777708993763499,0.7664214291192316,0.7152830122382341,0.7254658417446236,0.7847590573986292,0.7148303950464749,0.7288148881570476,0.484204104155791,0.4890714648402072,0.5411805650194377,0.5500345882457796,0.550161961680111,0.004867360684416178,0.1719573443886396
772,2025-04-19T16:21:25.828964,0.4933708646903645,0.5371989789309368,0.5963151657204935,0.7487777117752675,0.7270988705752232,0.6835958460649814,0.6136139724121688,0.7493257098144971,0.7189051995134882,0.691222272325264,0.4339964092589848,0.47013112852092726,0.5435191171912389,0.5469596689549977,0.5500827823494814,0.03613471926194245,0.08479018815052801
773,2025-04-19T16:21:26.378212,0.5375042421353431,0.5657842615736127,0.6095202178522835,0.6457724585576917,0.7887162158612376,0.786373156755992,0.7708779933071876,0.7817839292444603,0.7601911697394402,0.730120864230057,0.5289647600143881,0.5043636869371784,0.5443783800700355,0.5466222820389015,0.5497476135798186,0.024601073077209712,0.06010955409827745
774,2025-04-19T16:21:27.368759,0.8325443842319048,0.6494694681399616,0.6844309916064267,0.7249914345472914,0.9,0.9,0.9,0.9,0.8912880411450981,0.8824019360070295,0.896098412805604,0.7163513510347737,0.5460067951094232,0.5464221123932571,0.5468463344182108,0.17974706177083033,0.13987221745759623
775,2025-04-19T16:21:28.406648,0.5596913698489673,0.5381031302254741,0.5493076093466349,0.6106486435625612,0.813987740605379,0.7805430575059372,0.7876658188961859,0.736080169751081,0.8218048710866112,0.8273191945456957,0.5414614947600059,0.5559614005273107,0.5462518318660553,0.5546789371086869,0.554679100306782,0.014499905767304755,0.02316319088613746
776,2025-04-19T16:21:29.125413,0.8001269813470715,0.6757608092414445,0.7694959190846746,0.7876057989209244,0.9,0.88153756498787,0.8695723589632477,0.8619723762948373,0.8653345455374254,0.8603259923839935,0.690918550909527,0.8185430251962532,0.5477654861691469,0.5477657271839564,0.5479264075941033,0.12762447428672619,0.19646830209994567
777,2025-04-19T16:21:29.466447,0.2862340639587905,0.5000658428448727,0.5937774473344374,0.676276788904416,0.6624952165641339,0.5255518420437973,0.47683203440697836,0.607452851882944,0.5268785186611475,0.44789303940062286,0.33538049102151546,0.31492161538578073,0.5345739384125899,0.545534302390758,0.5558678617552596,0.02045887563573473,0.06772005588685104
778,2025-04-19T16:21:29.923590,0.5084129643787827,0.520373576242994,0.5513962000073188,0.5835796218093356,0.8196860159874227,0.791279907624109,0.8069610555098665,0.8188990939697011,0.7568592830669385,0.7616186002293054,0.5518765360355565,0.6267812451321448,0.5495234586039593,0.5515524677493184,0.5515534293357144,0.0749047090965883,0.020444114192195422
779,2025-04-19T16:21:30.334281,0.47725988708106165,0.5543260732173584,0.6311707753119855,0.6560555097572468,0.796865447051544,0.7012944031779046,0.6801456921420069,0.6676244131502145,0.5939093757018927,0.6642364953613727,0.47467090524072003,0.4251461811878678,0.5429433223876933,0.5678368343103684,0.5678396775662453,0.04952472405285224,0.05431084134076125
